Ref,Val,Package,PosX,PosY,Rot,Side
"D2","DIODE","D_SOD-123",207.518000,-89.408000,315.000000,bottom
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",207.518000,-83.312000,90.000000,bottom
"D5","DIODE","D_SOD-123",207.010000,-99.314000,135.000000,bottom
"D6","DIODE","D_SOD-123",207.264000,-96.012000,135.000000,bottom
"D7","DIODE","D_SOD-123",207.160726,-92.606726,135.000000,bottom
"G***","LOGO","baerklein",195.580000,-87.630000,180.000000,bottom
"J2","Conn_01x03_male","PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Right",188.214000,-79.502000,0.000000,bottom
"R4","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.960000,-99.400000,0.000000,bottom
"R9","10K","R_0603_1608Metric",207.518000,-102.362000,180.000000,bottom
"RFM95","RFM95W-868S2","HOPERF_RFM9XW_SMD",195.326000,-90.170000,0.000000,bottom
